Player,Age,Position,Nation,Team,Value
Mikkel Kaufmann,23,Centre-Forward,Denmark,FC Union Berline,2.89
Chris Bedia,28,Centre-Forward,Cote d'Ivoire,FC Union Berline,2.67
Robin Zentner,29,Goalkeeper,Germany,FSV Mainz 05,3.21
Daniel Batz,33,Goalkeeper,Germany,FSV Mainz 05,0.37
Lasse Rieß,22,Goalkeeper,Germany,FSV Mainz 05,0.21
Sepp van den Berg,22,Centre-Back,Netherlands,FSV Mainz 05,12.84
Andreas Hanche-Olsen,27,Centre-Back,Norway,FSV Mainz 05,9.63
Edimilson Fernandes,28,Centre-Back,Switzerland,FSV Mainz 05,3.75
Maxim Leitsch,26,Centre-Back,Germany,FSV Mainz 05,1.6
Stefan Bell,32,Centre-Back,Germany,FSV Mainz 05,0.86
Anthony Caci,26,Left-Back,France,FSV Mainz 05,7.49
Phillipp Mwene,30,Left-Back,Austria,FSV Mainz 05,1.93
Silvan Widmer,31,Right-Back,Switzerland,FSV Mainz 05,3.21
Danny da Costa,30,Right-Back,Germany,FSV Mainz 05,1.28
Dominik Kohr,30,Defensive Midfield,Germany,FSV Mainz 05,3.21
Josuha Guilavogui,33,Defensive Midfield,France,FSV Mainz 05,0.75
Leandro Barreiro,24,Central Midfield,Luxembourg,FSV Mainz 05,18.19
Nadiem Amiri,27,Central Midfield,Germany,FSV Mainz 05,7.49
Tom Krauß,23,Central Midfield,Germany,FSV Mainz 05,4.28
Merveille Papela,23,Central Midfield,Germany,FSV Mainz 05,1.07
Jae-sung Lee,31,Attacking Midfield,South Korea,FSV Mainz 05,2.67
Marco Richter,26,Attacking Midfield,Germany,FSV Mainz 05,2.14
Brajan Gruda,20,Right Winger,Germany,FSV Mainz 05,21.4
David Mamutovic,23,Right Winger,Germany,FSV Mainz 05,0.32
Jonathan Burkardt,23,Centre-Forward,Germany,FSV Mainz 05,12.84
Nelson Weiper,19,Centre-Forward,Germany,FSV Mainz 05,5.35
Ludovic Ajorque,30,Centre-Forward,France,FSV Mainz 05,3.21
Karim Onisiwo,32,Centre-Forward,Austria,FSV Mainz 05,1.6
Jessic Ngankam,23,Centre-Forward,Germany,FSV Mainz 05,1.6
Finn Dahmen,26,Goalkeeper,Germany,FC Augsburg,5.35
Tomas Koubek,31,Goalkeeper,Czech Republic,FC Augsburg,0.86
Marcel Lubik,20,Goalkeeper,Poland,FC Augsburg,0.27
Felix Uduokhai,26,Centre-Back,Germany,FC Augsburg,7.49
Maximilian Bauer,24,Centre-Back,Germany,FC Augsburg,3.21
Patric Pfeiffer,24,Centre-Back,Ghana,FC Augsburg,2.14
Jeffrey Gouweleeuw,32,Centre-Back,Netherlands,FC Augsburg,2.14
Reece Oxford,25,Centre-Back,England,FC Augsburg,1.6
Iago,27,Left-Back,Brazil,FC Augsburg,4.28
Mads Pedersen,27,Left-Back,Denmark,FC Augsburg,2.67
Kevin Mbabu,29,Right-Back,Switzerland,FC Augsburg,4.28
Robert Gumny,26,Right-Back,Poland,FC Augsburg,2.14
Raphael Framberger,28,Right-Back,Germany,FC Augsburg,0.64
Kristijan Jakic,27,Defensive Midfield,Croatia,FC Augsburg,6.96
Niklas Dorsch,26,Defensive Midfield,Germany,FC Augsburg,4.28
Tim Breithaupt,22,Defensive Midfield,Germany,FC Augsburg,3.21
Arne Engels,20,Central Midfield,Belgium,FC Augsburg,9.63
Arne Maier,25,Central Midfield,Germany,FC Augsburg,5.35
Elvis Rexhbecaj,26,Central Midfield,Germany,FC Augsburg,3.75
Fredrik Jensen,26,Attacking Midfield,Finland,FC Augsburg,3.75
Pep Biel,27,Attacking Midfield,Spain,FC Augsburg,3.21
Mert Kömür,18,Attacking Midfield,Germany,FC Augsburg,2.14
Rubén Vargas,25,Left Winger,Switzerland,FC Augsburg,8.03
Ermedin Demirovic,26,Centre-Forward,Bosnia-Herzegovina,FC Augsburg,29.96
Phillip Tietz,26,Centre-Forward,Germany,FC Augsburg,5.35
Dion Beljo,22,Centre-Forward,Croatia,FC Augsburg,4.28
Sven Michel,33,Centre-Forward,Germany,FC Augsburg,0.75
Michael Zetterer,28,Goalkeeper,Germany,SV Werder Bremen,3.21
Jiri Pavlenka,32,Goalkeeper,Czech Republic,SV Werder Bremen,1.6
Dudu,25,Goalkeeper,Germany,SV Werder Bremen,0.21
Marco Friedl,26,Centre-Back,Austria,SV Werder Bremen,8.03
Niklas Stark,29,Centre-Back,Germany,SV Werder Bremen,5.88
Milos Veljkovic,28,Centre-Back,Serbia,SV Werder Bremen,4.82
Amos Pieper,26,Centre-Back,Germany,SV Werder Bremen,4.28
Julián Malatini,23,Centre-Back,Argentina,SV Werder Bremen,2.67
Anthony Jung,32,Centre-Back,Germany,SV Werder Bremen,1.07
Mitchell Weiser,30,Right-Back,Germany,SV Werder Bremen,6.42
Felix Agu,24,Right-Back,Germany,SV Werder Bremen,4.28
Senne Lynen,25,Defensive Midfield,Belgium,SV Werder Bremen,7.49
Christian Groß,35,Defensive Midfield,Germany,SV Werder Bremen,0.32
Jens Stage,27,Central Midfield,Denmark,SV Werder Bremen,8.03
Skelly Alvero,22,Central Midfield,France,SV Werder Bremen,4.28
Leonardo Bittencourt,30,Central Midfield,Germany,SV Werder Bremen,2.67
Naby Keïta,29,Central Midfield,Guinea,SV Werder Bremen,2.14
Olivier Deman,24,Left Midfield,Belgium,SV Werder Bremen,5.35
Leon Opitz,19,Left Midfield,Germany,SV Werder Bremen,0.64
Romano Schmid,24,Attacking Midfield,Austria,SV Werder Bremen,10.7
Isak Hansen-Aarøen,19,Attacking Midfield,Norway,SV Werder Bremen,1.6
Justin Njinmah,23,Right Winger,Germany,SV Werder Bremen,9.63
Nick Woltemade,22,Second Striker,Germany,SV Werder Bremen,4.28
Marvin Ducksch,30,Centre-Forward,Germany,SV Werder Bremen,9.63
Dawid Kownacki,27,Centre-Forward,Poland,SV Werder Bremen,2.14
Marvin Schwäbe,29,Goalkeeper,Germany,FC Koln,4.28
Philipp Pentke,39,Goalkeeper,Germany,FC Koln,0.32
Jonas Nickisch,20,Goalkeeper,Germany,FC Koln,0.21
Matthias Köbbing,27,Goalkeeper,Germany,FC Koln,0.11
Jeff Chabot,26,Centre-Back,Germany,FC Koln,9.63
Timo Hübers,27,Centre-Back,Germany,FC Koln,5.88
Luca Kilian,24,Centre-Back,Germany,FC Koln,2.14
Dominique Heintz,30,Centre-Back,Germany,FC Koln,0.86
Elias Bakatukanda,20,Centre-Back,Germany,FC Koln,0.27
Max Finkgräfe,20,Left-Back,Germany,FC Koln,6.42
Leart Paçarada,29,Left-Back,Kosovo,FC Koln,1.6
Rasmus Carstensen,23,Right-Back,Denmark,FC Koln,2.14
Benno Schmitz,29,Right-Back,Germany,FC Koln,1.6
Eric Martel,22,Defensive Midfield,Germany,FC Koln,8.03
Dejan Ljubicic,26,Defensive Midfield,Austria,FC Koln,5.35
Jacob Christensen,23,Defensive Midfield,Denmark,FC Koln,1.6
Denis Huseinbasic,22,Central Midfield,Bosnia-Herzegovina,FC Koln,4.28
Florian Kainz,31,Attacking Midfield,Austria,FC Koln,2.67
Faride Alidou,22,Left Winger,Germany,FC Koln,2.67
Justin Diehl,19,Left Winger,Germany,FC Koln,2.67
Jan Thielmann,22,Right Winger,Germany,FC Koln,5.35
Linton Maina,25,Right Winger,Germany,FC Koln,3.21
Davie Selke,29,Centre-Forward,Germany,FC Koln,3.0
Luca Waldschmidt,28,Centre-Forward,Germany,FC Koln,2.67
Damion Downs,19,Centre-Forward,United States,FC Koln,2.14
Steffen Tigges,25,Centre-Forward,Germany,FC Koln,1.6
Mark Uth,32,Centre-Forward,Germany,FC Koln,1.07
Sargis Adamyan,31,Centre-Forward,Armenia,FC Koln,0.64
Florian Dietz,25,Centre-Forward,Germany,FC Koln,0.64
Kevin Müller,33,Goalkeeper,Germany,FC Heidenheim 1846,1.07
Vitus Eicher,33,Goalkeeper,Germany,FC Heidenheim 1846,0.27
Frank Feller,20,Goalkeeper,Germany,FC Heidenheim 1846,0.21
Paul Tschernuth,22,Goalkeeper,Austria,FC Heidenheim 1846,0.11
Benedikt Gimber,27,Centre-Back,Germany,FC Heidenheim 1846,3.0
Patrick Mainka,29,Centre-Back,Germany,FC Heidenheim 1846,2.67
Tim Siersleben,24,Centre-Back,Germany,FC Heidenheim 1846,1.6
Thomas Keller,24,Centre-Back,Germany,FC Heidenheim 1846,0.37
Jonas Föhrenbach,28,Left-Back,Germany,FC Heidenheim 1846,2.14
Norman Theuerkauf,37,Left-Back,Germany,FC Heidenheim 1846,0.32
Seedy Jarju,19,Left-Back,The Gambia,FC Heidenheim 1846,0.21
Omar Traoré,26,Right-Back,Germany,FC Heidenheim 1846,2.67
Marnon Busch,29,Right-Back,Germany,FC Heidenheim 1846,1.28
Lennard Maloney,24,Defensive Midfield,United States,FC Heidenheim 1846,5.35
Luka Janes,20,Defensive Midfield,Germany,FC Heidenheim 1846,0.21
Jan Schöppner,25,Central Midfield,Germany,FC Heidenheim 1846,3.21
Kevin Sessa,23,Central Midfield,Germany,FC Heidenheim 1846,2.67
Adrian Beck,27,Attacking Midfield,Germany,FC Heidenheim 1846,1.6
Denis Thomalla,31,Attacking Midfield,Germany,FC Heidenheim 1846,0.8
Jan-Niklas Beste,25,Left Winger,Germany,FC Heidenheim 1846,16.05
Florian Pick,28,Left Winger,Germany,FC Heidenheim 1846,0.75
Eren Dinkçi,22,Right Winger,Germany,FC Heidenheim 1846,12.84
Nikola Dovedan,29,Second Striker,Austria,FC Heidenheim 1846,0.86
Tim Kleindienst,28,Centre-Forward,Germany,FC Heidenheim 1846,6.42
Marvin Pieringer,24,Centre-Forward,Germany,FC Heidenheim 1846,3.21
Stefan Schimmer,30,Centre-Forward,Germany,FC Heidenheim 1846,0.54
Christian Kühlwetter,28,Centre-Forward,Germany,FC Heidenheim 1846,0.54
Elidon Qenaj,21,Centre-Forward,Kosovo,FC Heidenheim 1846,0.11
Manuel Riemann,35,Goalkeeper,Germany,VfL Bochum,0.64
Niclas Thiede,25,Goalkeeper,Germany,VfL Bochum,0.37
Andreas Luthe,37,Goalkeeper,Germany,VfL Bochum,0.32
Michael Esser,36,Goalkeeper,Germany,VfL Bochum,0.32
Keven Schlotterbeck,27,Centre-Back,Germany,VfL Bochum,6.42
Bernardo,29,Centre-Back,Brazil,VfL Bochum,5.88
Erhan Masovic,25,Centre-Back,Serbia,VfL Bochum,5.35
Tim Oermann,20,Centre-Back,Germany,VfL Bochum,4.28
Ivan Ordets,31,Centre-Back,Ukraine,VfL Bochum,2.67
Noah Loosli,27,Centre-Back,Switzerland,VfL Bochum,0.86
Mohammed Tolba,19,Centre-Back,Germany,VfL Bochum,0.21
Maximilian Wittek,28,Left-Back,Germany,VfL Bochum,2.14
Danilo Soares,32,Left-Back,Brazil,VfL Bochum,0.75
Moritz Römling,23,Left-Back,Germany,VfL Bochum,0.16
Felix Passlack,26,Right-Back,Germany,VfL Bochum,1.93
Cristian Gamboa,34,Right-Back,Costa Rica,VfL Bochum,0.54
Agon Elezi,23,Defensive Midfield,North Macedonia,VfL Bochum,0.86
Anthony Losilla,38,Defensive Midfield,France,VfL Bochum,0.54
Patrick Osterhage,24,Central Midfield,Germany,VfL Bochum,7.49
Matus Bero,28,Central Midfield,Slovakia,VfL Bochum,3.75
Kevin Stöger,30,Attacking Midfield,Austria,VfL Bochum,5.35
Philipp Förster,29,Attacking Midfield,Germany,VfL Bochum,1.93
Lukas Daschner,25,Attacking Midfield,Germany,VfL Bochum,1.28
Moritz-Broni Kwarteng,26,Attacking Midfield,Germany,VfL Bochum,1.28
Christopher Antwi-Adjei,30,Left Winger,Ghana,VfL Bochum,1.28
Takuma Asano,29,Right Winger,Japan,VfL Bochum,4.28
Moritz Broschinski,23,Centre-Forward,Germany,VfL Bochum,3.21
Philipp Hofmann,31,Centre-Forward,Germany,VfL Bochum,1.93
Gonçalo Paciência,29,Centre-Forward,Portugal,VfL Bochum,1.6
Marcel Schuhen,31,Goalkeeper,Germany,SV Darmstadt 98,0.86
Alexander Brunst,28,Goalkeeper,Germany,SV Darmstadt 98,0.43
Morten Behrens,27,Goalkeeper,Germany,SV Darmstadt 98,0.27
Max Wendt,19,Goalkeeper,Germany,SV Darmstadt 98,0.0
Christoph Klarer,24,Centre-Back,Austria,SV Darmstadt 98,3.21
Matej Maglica,25,Centre-Back,Croatia,SV Darmstadt 98,2.14
Clemens Riedel,20,Centre-Back,Germany,SV Darmstadt 98,2.14
Christoph Zimmermann,31,Centre-Back,Germany,SV Darmstadt 98,1.07
Jannik Müller,30,Centre-Back,Germany,SV Darmstadt 98,0.86
Thomas Isherwood,26,Centre-Back,Sweden,SV Darmstadt 98,0.54
Emir Karic,27,Left-Back,Austria,SV Darmstadt 98,1.07
Fabian Holland,33,Left-Back,Germany,SV Darmstadt 98,0.54
Matthias Bader,27,Right-Back,Germany,SV Darmstadt 98,1.93
Bartol Franjic,24,Defensive Midfield,Croatia,SV Darmstadt 98,1.93
Andreas Müller,23,Defensive Midfield,Germany,SV Darmstadt 98,0.86
Klaus Gjasula,34,Defensive Midfield,Albania,SV Darmstadt 98,0.43
Fabian Nürnberger,24,Central Midfield,Germany,SV Darmstadt 98,2.67
Fabian Schnellhardt,30,Central Midfield,Germany,SV Darmstadt 98,1.07
Tobias Kempe,34,Central Midfield,Germany,SV Darmstadt 98,0.54
Marvin Mehlem,26,Attacking Midfield,Germany,SV Darmstadt 98,2.67
Julian Justvan,26,Attacking Midfield,Germany,SV Darmstadt 98,1.6
Mathias Honsak,27,Left Winger,Austria,SV Darmstadt 98,1.28
Gerrit Holtmann,29,Left Winger,Philippines,SV Darmstadt 98,1.07
Tim Skarke,27,Right Winger,Germany,SV Darmstadt 98,3.21
Braydon Manu,27,Right Winger,Ghana,SV Darmstadt 98,1.28
Oscar Vilhelmsson,20,Centre-Forward,Sweden,SV Darmstadt 98,2.14
Fraser Hornby,24,Centre-Forward,Scotland,SV Darmstadt 98,1.28
Luca Pfeiffer,27,Centre-Forward,Germany,SV Darmstadt 98,1.28
Aaron Seydel,28,Centre-Forward,Germany,SV Darmstadt 98,0.54
Sebastian Polter,33,Centre-Forward,Germany,SV Darmstadt 98,0.54
Fabio Torsiello,19,Centre-Forward,Germany,SV Darmstadt 98,0.54
